name,year,ipo_id,slug,url,listing_gain_pct,issue_price,listing_price,listing_date,listing_date_raw,face_value,price_band_low,price_band_high,offer_price,lot_size,sale_type,exchange,issue_size_cr,fresh_issue_cr,nse_symbol,bse_code,isin,ronw,promoter_holding_pre,market_cap_cr,fresh_issue_pct,promoter_holding_post,qib_sub,hni_sub,rii_sub,total_sub,anchor_data_available,has_top_anchor,qib_retail_ratio,sub_intensity_score,gmp_data_available,nse_ticker,listing_price_actual,return_1M,return_3M,return_6M,return_1Y,alpha_1M,alpha_3M,alpha_6M,alpha_1Y,nifty_at_listing,nifty_30d_return_pct,nifty_7d_return_pct,vix_at_listing,target_listing_positive,target_listing_gt10,target_listing_gt20,target_1y_positive,target_1y_gt25,target_beat_nifty,ofs_cr,ofs_pct,employee_sub,roe,roce,anchor_price,anchor_pct_of_qib,anchor_investors_count,anchor_names_sample,anchor_amount_cr,total_assets_cr,revenue_cr,pat_cr,net_worth_cr,reserves_cr,total_debt_cr,debt_equity,pat_margin_pct,eps,pe_ratio,revenue_per_share,price_to_book,sector,book_value,face_value_screener,ebitda_cr,ebitda_margin_pct,pb_ratio_screener
A2Z Maintenance & Engineering Services Ltd.,2010,2010_287,a2z_maintenance_ipo,https://www.chittorgarh.com/ipo/a2z_maintenance_ipo/287/,-17.86,400.0,328.55,"Thu, Dec 23, 2010","Thu, Dec 23, 2010",10.0,400.0,410.0,400.0,15.0,Bookbuilding IPO,"BSE, NSE",776.0,675.0,A2ZINFRA,533292.0,INE619I01012,23.84,55.81,2967.11,86.98,33.06,0.7856,3.447,0.3646,0.9067,1.0,1.0,2.155,1.5,0,A2ZINFRA,325.33,-7.76,-18.91,-26.01,-72.95,-3.02,-11.26,-18.43,-52.45,6011.6,2.49,1.06,17.65,0,0,0,0.0,0.0,0.0,101.0,13.02,0.3201,289.0,138.0,400.0,32.5,7.0,AIC ADVANTAGE FUND | AIC ADVANTAGE | NIPPON INDIA VISION LARGE & MID CAP FUND | NIPPON INDIA MUTUAL FUND | AIC ADVANTAGE FUND II,,,699.0,-247.0,74.0,,1409.0,19.04,-35.34,-33.3,217.0,,,Engineering,251.0,100.0,-89.0,-12.73,217.0
ARSS Infrastructure Projects Ltd.,2010,2010_226,arss_infra_ipo,https://www.chittorgarh.com/ipo/arss_infra_ipo/226/,63.88,450.0,737.45,"Wed, Mar 3, 2010","Wed, Mar 3, 2010",10.0,410.0,450.0,450.0,15.0,Bookbuilding IPO,"BSE, NSE",103.0,103.0,ARSSINFRA,533163.0,INE267I01010,34.47,65.31,667.93,100.0,49.89,54.1583,136.6781,20.3583,52.2703,0.0,0.0,2.66,72.15,0,ARSSINFRA,733.92,51.06,47.03,69.65,-17.43,45.55,46.59,63.47,-26.24,5080.25,3.68,4.56,20.98,1,1,1,0.0,0.0,0.0,,,,,-51.0,,,,,,,1249.0,112.0,15.0,,940.0,62.67,8.97,75.46,,,,Infrastructure,513.0,100.0,271.0,21.7,0
Ashoka Buildcon Ltd.,2010,2010_270,ashoka_ipo,https://www.chittorgarh.com/ipo/ashoka_ipo/270/,2.08,324.0,330.75,"Thu, Oct 14, 2010","Thu, Oct 14, 2010",10.0,297.0,324.0,324.0,21.0,Bookbuilding IPO,"BSE, NSE",225.0,225.0,ASHOKA,533271.0,INE442H01029,17.38,100.0,1705.41,100.0,86.81,27.84,15.1746,3.7745,14.2775,1.0,1.0,7.376,19.23,0,ASHOKA,68.8,-7.44,-13.18,-22.57,-27.44,-6.54,-4.72,-15.5,-9.19,6062.65,4.01,-0.67,22.65,1,0,0,0.0,0.0,0.0,,,1.3203,21.3,10.9,324.0,30.0,15.0,DSP MID CAP FUND | DSP MUTUAL FUND | DSP SMALL CAP FUND | RELIANCE NIPPON LIFE INSURANCE CO.LTD. | RELIANCE NIPPON LIFE INSURANCE,,,1795.0,55.0,79.0,,3193.0,40.42,3.06,10.45,328.0,,,,150.0,500.0,382.0,21.28,328.0
Bajaj Corp Ltd.,2010,2010_254,bajaj_corp_ipo,https://www.chittorgarh.com/ipo/bajaj_corp_ipo/254/,14.96,660.0,758.75,"Wed, Aug 18, 2010","Wed, Aug 18, 2010",5.0,630.0,660.0,660.0,10.0,Bookbuilding IPO,"BSE, NSE",297.0,297.0,BAJAJCON,533229.0,INE933K01021,327.66,100.0,1947.0,100.0,84.75,20.19,53.49,6.62,15.8148,1.0,1.0,3.05,27.47,0,BAJAJCON,101.65,-4.49,-24.26,-31.61,-25.77,-11.9,-33.74,-32.84,-16.09,5540.2,2.61,2.28,16.53,1,1,0,0.0,0.0,0.0,,,,157.0,191.0,660.0,30.0,12.0,NIPPON INDIA AGGRESSIVE HYBRID FUND | NIPPON INDIA MUTUAL FUND | ICICI PRUDENTIAL MIDCAP FUND | ICICI PRUDENTIAL MUTUAL FUND | AXIS CONSERVATIVE HYBRID FUND,,,665.0,149.0,15.0,,579.0,38.6,22.41,50.51,348.0,,,,494.0,100.0,186.0,27.97,348.0
Bedmutha Industries Ltd.,2010,2010_273,bedmutha_ipo,https://www.chittorgarh.com/ipo/bedmutha_ipo/273/,75.64,102.0,179.15,"Thu, Oct 14, 2010","Thu, Oct 14, 2010",10.0,95.0,102.0,102.0,65.0,Bookbuilding IPO,"BSE, NSE",92.0,92.0,BEDMUTHA,533270.0,INE844K01012,37.96,99.07,214.48,100.0,56.18,0.67,29.19,8.51,7.692,0.0,0.0,0.079,10.79,0,BEDMUTHA,179.15,-38.4,-54.03,-35.42,-39.74,-37.5,-45.57,-28.35,-21.49,6062.65,4.01,-0.67,22.65,1,1,1,0.0,0.0,0.0,,,,180.0,167.0,,,,,,,226.0,1.0,21.0,,184.0,8.76,0.44,0.48,,,,,437.0,100.0,17.0,7.52,0
Cantabil Retail India Ltd.,2010,2010_271,cantabil_ipo,https://www.chittorgarh.com/ipo/cantabil_ipo/271/,-22.22,135.0,105.0,"Tue, Oct 12, 2010","Tue, Oct 12, 2010",10.0,127.0,135.0,135.0,50.0,Bookbuilding IPO,"BSE, NSE",105.0,105.0,CANTABIL,533267.0,INE068L01016,49.66,99.99,220.42,100.0,52.35,1.8177,4.0713,2.7957,2.498,0.0,0.0,0.65,2.69,0,CANTABIL,20.53,-29.38,-46.05,-59.29,-76.81,-31.08,-42.31,-54.92,-61.18,6233.9,7.56,0.77,20.02,0,0,0,0.0,0.0,0.0,,,,208.0,182.0,,,,,,,100.0,-9.0,16.0,,31.0,1.94,-9.0,-5.51,218.0,,,Retail,490.0,200.0,-3.0,-3.0,218.0
Career Point Infosystems Ltd.,2010,2010_263,career_point_ipo,https://www.chittorgarh.com/ipo/career_point_ipo/263/,102.63,310.0,628.15,"Wed, Oct 6, 2010","Wed, Oct 6, 2010",10.0,295.0,310.0,310.0,20.0,Bookbuilding IPO,"BSE, NSE",115.0,115.0,CPCAP,533260.0,INE521J01018,14.6,75.35,562.13,100.0,54.89,49.8627,107.1126,33.3539,40.9568,1.0,1.0,1.495,63.74,0,,,,,,,,,,,6120.3,9.21,1.5,22.45,1,1,1,,,,,,1.0702,730.0,983.0,310.0,29.97,10.0,GOLDMAN SACHS INDIA FUND LTD. | GOLDMAN SACHS | SUNDARAM LARGE & MID CAP FUND | SUNDARAM MUTUAL FUND | CITIGROUP GLOBAL MARKETS MAURITIUS PVT.LTD.,,,65.0,9.0,18.0,,397.0,22.06,13.85,4.96,374.0,,,Technology,303.0,100.0,,,374.0
Coal India Ltd.,2010,2010_258,coal_india_ipo,https://www.chittorgarh.com/ipo/coal_india_ipo/258/,39.82,245.0,342.55,"Thu, Nov 4, 2010","Thu, Nov 4, 2010",10.0,225.0,245.0,245.0,25.0,Bookbuilding IPO,"BSE, NSE",15199.0,,COALINDIA,533278.0,INE522F01014,38.04,99.99,154750.93,,,24.7,25.4,2.31,15.2817,0.0,0.0,10.693,20.43,0,COALINDIA,113.88,-6.58,-11.06,13.45,-6.24,-1.72,3.04,24.86,15.2,6281.8,1.54,4.91,19.36,1,1,1,0.0,0.0,1.0,15199.0,100.0,0.1,389.0,480.0,,,,,,,70608.0,15112.0,6316.0,,178.0,0.03,21.4,23.93,898.0,,,,171.0,100.0,17766.0,25.16,898.0
Commercial Engineers & Body Builders Co.Ltd.,2010,2010_274,commercial_engineers_ipo,https://www.chittorgarh.com/ipo/commercial_engineers_ipo/274/,-11.1,127.0,112.9,"Mon, Oct 18, 2010","Mon, Oct 18, 2010",10.0,125.0,127.0,127.0,55.0,Bookbuilding IPO,"BSE, NSE",172.0,153.0,JWL,533272.0,INE209L01016,26.97,67.19,697.78,88.95,45.26,3.7546,0.3448,0.3854,1.7271,1.0,1.0,9.742,2.06,0,JWL,112.09,-9.52,-61.03,-63.2,-66.83,-8.25,-55.24,-60.05,-52.28,6027.3,0.78,-1.04,23.23,0,0,0,0.0,0.0,0.0,19.0,11.05,,170.0,215.0,127.0,30.0,9.0,JP MORGAN ASIAN SMALLER COMPANIES FUND | JP MORGAN | LEGG MASON SOUTHEAST ASIA SPECIAL SITUATIONS TRUST | LEGG MASON | KOTAK FLEXICAP FUND,,,138.0,-70.0,55.0,,136.0,2.47,-50.72,-12.74,464.0,,,Engineering,654.0,100.0,-21.0,-15.22,464.0
D B Corp Ltd.,2010,2010_213,d_b_corp_ipo,https://www.chittorgarh.com/ipo/d_b_corp_ipo/213/,25.42,212.0,265.9,"Wed, Jan 6, 2010","Wed, Jan 6, 2010",10.0,185.0,212.0,212.0,30.0,Bookbuilding IPO,"BSE, NSE",384.0,269.0,DBCORP,533151.0,INE950I01011,22.74,92.86,3848.11,70.05,85.87,68.5217,26.1732,3.4209,32.4227,1.0,1.0,20.03,42.8,0,DBCORP,155.95,-11.19,-4.22,-9.64,-0.78,-0.53,-5.32,-10.98,-12.57,5263.1,3.02,1.81,22.5,1,1,1,0.0,0.0,0.0,115.0,29.95,,167.0,211.0,212.0,30.0,9.0,BANDHAN LARGE & MID CAP FUND | BANDHAN MUTUAL FUND | FID FUNDS (MAURITIUS) LTD. | FID FUNDS | HSBC FLEXI CAP FUND,,,1860.0,307.0,183.0,,154.0,0.84,16.51,16.91,116.0,,,,129.0,100.0,502.0,26.99,116.0
